Feature,Importance
NumOfProducts,0.33338400964650844
Age,0.27548887992614923
IsActiveMember,0.09818309976771902
Geography_Germany,0.05414879635477826
age_group_senior,0.05124395256461094
balance_per_product,0.04116128683651557
Balance,0.033629921989648544
Gender,0.030726893125265834
tenure_age_ratio,0.019309288538552984
has_zero_balance,0.01711125714605146
EstimatedSalary,0.012824078255975369
CreditScore,0.012210196223354482
age_group_young,0.009650007343975675
Tenure,0.006049954233577518
HasCrCard,0.0025914060601723663
Geography_Spain,0.0022869719871443845
